ds,yhat
2024-07-11,0.25969329678260983
2024-07-12,0.24917567856608974
2024-07-13,0.24718306413949484
2024-07-14,0.2441319064384064
2024-07-15,0.2400401675355594
2024-07-16,0.2301618422061899
2024-07-17,0.2217384808260282
2024-07-18,0.21482694812094522
2024-07-19,0.1976027674792269
2024-07-20,0.18931696840940826
2024-07-21,0.18052076064955289
2024-07-22,0.1713574928477345
2024-07-23,0.15719370154235224
2024-07-24,0.14536746926616978
2024-07-25,0.13601342128658356
2024-07-26,0.11736379246622312
2024-07-27,0.10870354997511078
2024-07-28,0.10059394786720216
2024-07-29,0.09316400674617727
2024-07-30,0.08174174129715053
2024-07-31,0.0736033527717598
2024-08-01,0.0687996954359049
2024-08-02,0.05545940976538706
2024-08-03,0.0527466523187097
2024-08-04,0.051087726987863846
2024-08-05,0.05046602607493747
2024-08-06,0.04605700816111545
2024-08-07,0.04498132576645988
2024-08-08,0.04713530243272224
2024-08-09,0.04049804049531383
2024-08-10,0.04409297901282224
2024-08-11,0.048218100325690634
2024-08-12,0.05274409473804137
2024-08-13,0.052752121441442285
2024-08-14,0.05528920247400691
2024-08-15,0.06020038795112131
2024-08-16,0.05543692898014204
2024-08-17,0.06001825067324857
2024-08-18,0.06426191520946517
2024-08-19,0.06808089465492226
2024-08-20,0.06661982026856997
2024-08-21,0.06700829121609052
2024-08-22,0.06919044320126339
2024-08-23,0.06123009000461163
2024-08-24,0.0622693189752187
2024-08-25,0.062754828522593
2024-08-26,0.06273143202037945
2024-08-27,0.05747450311833749
2024-08-28,0.0542395540880603
2024-08-29,0.05308825371244712
2024-08-30,0.04219029796121182
2024-08-31,0.040779106132434614
2024-09-01,0.03937571091474837
2024-09-02,0.03808033368944555
2024-09-03,0.03220347160209699
2024-09-04,0.029014722770375312
2024-09-05,0.028568673159466
2024-09-06,0.019007257263366814
2024-09-07,0.01951654616341012
2024-09-08,0.02055229495114727
2024-09-09,0.022133688155427884
2024-09-10,0.01947704242915959
2024-09-11,0.019747613023986463
2024-09-12,0.02288873757668674
2024-09-13,0.016927631842488258
2024-09-14,0.020935688834477932
2024-09-15,0.025257509640376534
2024-09-16,0.029808002276089332
2024-09-17,0.02970920996937948
2024-09-18,0.03204492479914707
2024-09-19,0.036692239485526926
2024-09-20,0.03162928342415835
2024-09-21,0.0358969400155461
2024-09-22,0.03982873480706357
2024-09-23,0.04334820876491351
2024-09-24,0.0416054332975553
2024-09-25,0.0417307355079226
2024-09-26,0.043664815882679495
2024-09-27,0.03546454983906474
2024-09-28,0.0362623300020202
2024-09-29,0.0364932112133826
2024-09-30,0.03618925553613557
2024-10-01,0.030612824788412388
2024-10-02,0.027006985242574673
2024-10-03,0.025422305242700588
2024-10-04,0.014019435172988974
2024-10-05,0.012025421241551502
2024-10-06,0.0099581034792963
2024-10-07,0.007918074843604475
2024-10-08,0.0012200175092722254
2024-10-09,-0.002858363514857812
