ds,yhat
2024-07-17,0.06891486154084986
2024-07-18,0.04820084440008394
2024-07-19,0.03269977805017665
2024-07-20,0.027470573608941368
2024-07-21,0.016000082358939585
2024-07-22,0.003327348778320298
2024-07-23,-0.01031062577930851
2024-07-24,-0.024762042176045815
2024-07-25,-0.037446046325839366
2024-07-26,-0.0434433947200753
2024-07-27,-0.03789489385979779
2024-07-28,-0.03754459997287522
2024-07-29,-0.037610350014609537
2024-07-30,-0.03813205808101976
2024-07-31,-0.03924835415668043
2024-08-01,-0.03867538685335545
2024-08-02,-0.0317903028184094
2024-08-03,-0.014022436305690014
2024-08-04,-0.0023893813025714986
2024-08-05,0.007639297973410758
2024-08-06,0.0158001054194156
2024-08-07,0.02176465563967216
2024-08-08,0.02766574701660423
2024-08-09,0.038017820221626725
2024-08-10,0.057328659747322396
2024-08-11,0.06856508366328035
2024-08-12,0.07628981228224917
2024-08-13,0.08031887997744074
2024-08-14,0.08044885392668781
2024-08-15,0.07897992569848565
2024-08-16,0.08063230076347999
2024-08-17,0.09015284238983542
2024-08-18,0.0907748402738889
2024-08-19,0.08734824283125767
2024-08-20,0.07998988489001232
2024-08-21,0.06880315697531235
2024-08-22,0.05639337465513618
2024-08-23,0.04777647067530012
2024-08-24,0.04797816386936141
2024-08-25,0.04048666738960311
2024-08-26,0.030376456966896247
2024-08-27,0.01795279749362156
2024-08-28,0.0034666210316807652
2024-08-29,-0.010373861907416626
2024-08-30,-0.018497098506110046
2024-08-31,-0.015870456001432193
2024-09-01,-0.019047711618476335
2024-09-02,-0.023044245331976118
2024-09-03,-0.027690265265572944
2024-09-04,-0.032912532093720706
2024-09-05,-0.0362182898144474
2024-09-06,-0.03278380014636302
2024-09-07,-0.01785040011063592
2024-09-08,-0.008265145358059563
2024-09-09,0.0006513081670941057
2024-09-10,0.008759065681002633
2024-09-11,0.015824936641382556
2024-09-12,0.024046055748125926
2024-09-13,0.03796859223504408
2024-09-14,0.06209844453763826
2024-09-15,0.07936668823533005
2024-09-16,0.09426697334520207
2024-09-17,0.10651422318987597
2024-09-18,0.11577386949270774
2024-09-19,0.12418764409060112
2024-09-20,0.13629329149855807
2024-09-21,0.15663508404381749
2024-09-22,0.16822792304140188
2024-09-23,0.1756922679411677
2024-09-24,0.1789093203325636
2024-09-25,0.17774579870507942
2024-09-26,0.17457444924613374
2024-09-27,0.17418780191505306
2024-09-28,0.18140221457017627
2024-09-29,0.17951516128929318
2024-09-30,0.1734331863686005
2024-10-01,0.16332013246986923
2024-10-02,0.14931515755225758
2024-10-03,0.13404685702787317
2024-10-04,0.12254115946541844
2024-10-05,0.11982018152506983
2024-10-06,0.1093551213635266
2024-10-07,0.09619071224469654
2024-10-08,0.08059091983225612
2024-10-09,0.06275544589993486
2024-10-10,0.04533337516929668
2024-10-11,0.03333162589997462
2024-10-12,0.03171535486716053
2024-10-13,0.02386333493706611
2024-10-14,0.014695742021985023
2024-10-15,0.004323928708243122
