fecha,ao
2014-01-16,411.87517176662897
2014-01-17,412.0287575122414
2014-01-18,413.06574092491144
2014-01-19,414.3412320804215
2014-01-20,415.29461337736194
2014-01-21,415.7640347833443
2014-01-22,415.80392583588264
2014-01-23,414.85340165533137
2014-01-24,414.534035959629
2014-01-25,414.72256568964093
2014-01-26,414.8318638127399
2014-01-27,414.3683888193248
2014-01-28,413.24446564287916
2014-01-29,411.5933773432148
2014-01-30,408.93522052975396
2014-01-31,406.97207693279455
2014-02-01,405.65814643441905
2014-02-02,404.4782576669494
2014-02-03,403.00304066061767
2014-02-04,401.1991863703452
2014-02-05,399.2428345328507
2014-02-06,396.6840950847835
2014-02-07,395.2412963674713
2014-02-08,394.8706335870322
2014-02-09,395.04464828516967
2014-02-10,395.30782400582405
2014-02-11,395.58770972781946
2014-02-12,396.0095856980287
2014-02-13,396.0626373346988
2014-02-14,397.39617932141414
2014-02-15,399.891542256293
2014-02-16,402.9429833624302
2014-02-17,406.01583114352417
2014-02-18,408.9601964886177
2014-02-19,411.8281844243596
2014-02-20,414.0424928233979
2014-02-21,417.194864317576
2014-02-22,421.11993371188646
2014-02-23,425.1777702812693
2014-02-24,428.8132725652641
2014-02-25,431.87070736312154
2014-02-26,434.4112990701787
2014-02-27,435.8817412422739
2014-02-28,437.91209633711486
2014-03-01,440.38863981240206
2014-03-02,442.73497566727707
2014-03-03,444.4696217857192
2014-03-04,445.5184093933886
2014-03-05,446.0296657073417
2014-03-06,445.54012308406527
2014-03-07,445.77009840110793
2014-03-08,446.69358069574866
2014-03-09,447.81663760689696
2014-03-10,448.732421553091
2014-03-11,449.43119916339265
2014-03-12,450.11344648091233
2014-03-13,450.3540186851809
2014-03-14,451.8959935048093
2014-03-15,454.7198700557873
2014-03-16,458.3215642629208
2014-03-17,462.2674983122091
2014-03-18,466.50520948909747
2014-03-19,471.1775079335088
2014-03-20,475.7881645341987
2014-03-21,481.9976867945817
2014-03-22,489.69481038862887
2014-03-23,498.2770823831553
2014-03-24,507.208759085055
2014-03-25,516.3343622088968
2014-03-26,525.6958364298821
2014-03-27,534.7012007906153
2014-03-28,544.9231633518632
2014-03-29,556.1732412821203
2014-03-30,567.7846822958741
2014-03-31,579.172338180642
2014-04-01,590.1477719156582
2014-04-02,600.7374911809229
2014-04-03,610.3521639438816
2014-04-04,620.585263400166
2014-04-05,631.2866777744848
2014-04-06,641.8445899454077
2014-04-07,651.7438022915292
2014-04-08,660.8788279327615
2014-04-09,669.369694820101
2014-04-10,676.7283845614685
2014-04-11,684.6544301947043
2014-04-12,693.1052939556502
2014-04-13,701.5749217613777
2014-04-14,709.648745194574
2014-04-15,717.3135484819239
2014-04-16,724.7702414222662
2014-04-17,731.5975501291205
2014-04-18,739.5452326532599
2014-04-19,748.6025138561212
2014-04-20,758.275197893357
2014-04-21,768.1397772185229
2014-04-22,778.1529887444805
2014-04-23,788.4648752441191
2014-04-24,798.5833643572594
2014-04-25,810.1689560173827
2014-04-26,823.1051799968819
2014-04-27,836.7782336337693
2014-04-28,850.6340559673517
2014-04-29,864.4912134986824
2014-04-30,878.3575694956395
2014-05-01,891.5986546269529
2014-05-02,905.7362292843452
2014-05-03,920.5225956916901
2014-05-04,935.2239659387188
2014-05-05,949.1810407516041
2014-05-06,962.1250780871201
2014-05-07,973.9973352590654
2014-05-08,984.1197245132014
2014-05-09,993.9951070243733
2014-05-10,1003.3827323169047
2014-05-11,1011.5820938484549
2014-05-12,1017.9933368612503
2014-05-13,1022.3829406335202
2014-05-14,1024.850351967079
2014-05-15,1024.84788785008
2014-05-16,1024.0279356284882
2014-05-17,1022.3152437896256
2014-05-18,1019.1872060383284
2014-05-19,1014.2303622536464
2014-05-20,1007.4514900915351
2014-05-21,999.0912890475922
2014-05-22,988.7886353143399
2014-05-23,978.3739875010904
2014-05-24,967.9376179068413
2014-05-25,957.1061159772072
2014-05-26,945.5954795411744
2014-05-27,933.5192498461431
2014-05-28,921.1997626333616
2014-05-29,908.33055045498
2014-05-30,896.7685182464504
2014-05-31,886.6015929208121
2014-06-01,877.4253033068576
2014-06-02,868.8965992583753
2014-06-03,861.0433430924046
2014-06-04,854.0775074342023
2014-06-05,847.560062392117
2014-06-06,843.1961092304934
2014-06-07,840.9058857564683
2014-06-08,840.1050156028668
2014-06-09,840.2622198208578
2014-06-10,841.2128296935638
2014-06-11,842.97603927066
2014-06-12,844.9237861274717
2014-06-13,848.5797266684224
2014-06-14,853.6938461769469
2014-06-15,859.5259986763563
2014-06-16,865.4065275958167
2014-06-17,871.0522499262952
2014-06-18,876.3856984918688
2014-06-19,880.705480107874
2014-06-20,885.4861987662438
2014-06-21,890.4534804524899
2014-06-22,894.8674042945197
2014-06-23,898.0825132019047
2014-06-24,899.862720341648
2014-06-25,900.199049911291
2014-06-26,898.4781224231759
2014-06-27,896.2798929298742
2014-06-28,893.4502430372355
2014-06-29,889.3817986265611
2014-06-30,883.5712146583212
2014-07-01,875.9313106650125
2014-07-02,866.6060598616948
2014-07-03,855.1364020713949
2014-07-04,843.2554429090784
2014-07-05,830.958686866973
2014-07-06,817.7827148282053
2014-07-07,803.3605771175163
2014-07-08,787.7323061934093
2014-07-09,771.1585631066566
2014-07-10,753.2853900620303
2014-07-11,735.9386251409155
2014-07-12,719.1936127055927
2014-07-13,702.6535991741476
2014-07-14,686.005058926904
2014-07-15,669.3283239391435
2014-07-16,652.9114980314515
2014-07-17,636.4155936012324
2014-07-18,621.6694126429037
2014-07-19,608.7397729586347
2014-07-20,597.2104395521708
