fecha,UI,abierto/cerrado
2013-07-01,5741.9025,1
2013-07-02,599.9925000000001,1
2013-07-03,4356.65,1
2013-07-04,4301.625,1
2013-07-05,750.19475,1
2013-07-06,109.86625000000001,1
2013-07-07,425.65,1
2013-07-08,-43.239999999999995,1
2013-07-09,411.827,1
2013-07-10,1672.6025,1
2013-07-11,1848.9699999999998,1
2013-07-12,113.4945,1
2013-07-13,1163.32,1
2013-07-14,989.6800000000001,1
2013-07-15,151.23749999999998,1
2013-07-16,1109.49,1
2013-07-17,2504.75,1
2013-07-18,-57.31750000000001,1
2013-07-19,-104.4365,1
2013-07-20,-660.18875,1
2013-07-21,39.777,1
2013-07-22,-3.6159999999999997,1
2013-07-23,-849.97,1
2013-07-24,425.79125,1
2013-07-25,-612.265,1
2013-07-26,-1336.1475,1
2013-07-27,-4103.85,1
2013-07-28,-1350.5,1
2013-07-29,-449.5095,1
2013-07-30,278.28249999999997,1
2013-07-31,-624.85175,1
2013-08-01,-1809.815,1
2013-08-02,-479.9765,1
2013-08-03,-81.49849999999999,1
2013-08-04,-636.095,1
2013-08-05,888.24225,1
2013-08-06,82.10050000000001,1
2013-08-07,628.81,1
2013-08-08,2362.0175,1
2013-08-09,3870.575,1
2013-08-10,3805.175,1
2013-08-11,2275.8,1
2013-08-12,12880.825,1
2013-08-13,11235.525,1
2013-08-14,7247.15,1
2013-08-15,3737.525,1
2013-08-16,596.0274999999999,1
2013-08-17,1104.5615,1
2013-08-18,1106.5625,1
2013-08-19,5050.775,1
2013-08-20,-413.97,1
2013-08-21,-388.62850000000003,1
2013-08-22,106.66075,1
2013-08-23,4085.2999999999997,1
2013-08-24,4173.675,1
2013-08-25,4859.375,1
2013-08-26,7030.75,1
2013-08-27,6938.875,1
2013-08-28,6844.5,1
2013-08-29,3608.2,1
2013-08-30,4101.4,1
2013-08-31,3444.775,1
2013-09-01,531.3125,1
2013-09-02,340.957,1
2013-09-03,96.7835,1
2013-09-04,2052.625,1
2013-09-05,1679.85,1
2013-09-06,6397.5,1
2013-09-07,5224.875,1
2013-09-08,349.48575,1
2013-09-09,2749.2,1
2013-09-10,11447.525,1
2013-09-11,4042.7749999999996,1
2013-09-12,1069.8875,1
2013-09-13,2208.5,0
2013-09-14,2350.425,0
2013-09-15,2325.6725,0
2013-09-16,4277.8675,0
2013-09-17,1657.2350000000001,0
2013-09-18,1211.625,0
2013-09-19,3675.85,0
2013-09-20,2423.0725,0
2013-09-21,165.67125,0
2013-09-22,-295.39575,0
2013-09-23,-1028.8625,0
2013-09-24,-176.89075,0
2013-09-25,-3197.1749999999997,0
2013-09-26,-3832.5325,0
2013-09-27,-5665.925,0
2013-09-28,-1589.2,0
2013-09-29,-2370.325,0
2013-09-30,-1337.66,0
2013-10-01,-3367.1000000000004,0
2013-10-02,-1880.645,0
2013-10-03,-1279.7475,0
2013-10-04,-235.2975,0
2013-10-05,1283.205,0
2013-10-06,742.49,0
2013-10-07,951.7850000000001,0
2013-10-08,1300.6225,1
2013-10-09,2149.05,1
2013-10-10,2947.675,1
2013-10-11,3198.17625,1
2013-10-12,-695.3275000000001,1
2013-10-13,-435.07500000000005,1
2013-10-14,-3268.45,1
2013-10-15,-3682.1,1
2013-10-16,574.65125,1
2013-10-17,-3516.295,1
2013-10-18,-1728.82575,1
2013-10-19,-2595.1949999999997,1
2013-10-20,-5825.1,1
2013-10-21,-6744.1,1
2013-10-22,-4211.05,1
2013-10-23,-2165.2,1
2013-10-24,-2692.8625,1
2013-10-25,-1447.3,1
