fecha,UI,abierto/cerrado,ao
2017-06-01,223.4875,1.0,404.7
2017-06-02,4623.725,1.0,404.7
2017-06-03,2112.9375,1.0,404.7
2017-06-04,-553.635,1.0,404.7
2017-06-05,-73.08949999999993,1.0,404.7
2017-06-06,1245.65,1.0,404.7
2017-06-07,-24.413200000000003,1.0,404.7
2017-06-08,-39.562,1.0,213.1
2017-06-09,-289.2175,1.0,122.7
2017-06-10,850.84375,1.0,122.7
2017-06-11,10165.275,1.0,122.7
2017-06-12,3490.1083,1.0,158.5
2017-06-13,2191.75,1.0,158.5
2017-06-14,6969.025,1.0,79.8
2017-06-15,8489.175,1.0,79.8
2017-06-16,103.83749999999999,1.0,55.23333333333333
2017-06-17,-108.622,1.0,55.23333333333333
2017-06-18,-125.8644,1.0,55.23333333333333
2017-06-19,-102.79899999999999,1.0,66.1
2017-06-20,-95.77425000000001,1.0,66.1
2017-06-21,332.643675,1.0,66.1
2017-06-22,189.00300000000001,1.0,66.1
2017-06-23,393.21074999999996,1.0,66.1
2017-06-24,2933.65,1.0,66.1
2017-06-25,1664.7825,1.0,66.1
2017-06-26,-231.49012500000003,1.0,66.1
2017-06-27,-1058.7325,1.0,0.0
2017-06-28,377.84975,1.0,0.0
2017-06-29,1317.2224999999999,1.0,0.0
2017-06-30,919.6475,1.0,0.0
2017-07-01,1805.92,1.0,0.0
2017-07-02,3103.59,1.0,0.0
2017-07-03,82.72574999999999,1.0,59.2
2017-07-04,-167.737,1.0,59.2
2017-07-05,1002.6142500000001,1.0,59.2
2017-07-06,1320.7675,1.0,59.2
2017-07-07,4045.4610000000002,1.0,0.0
2017-07-08,4935.57,1.0,0.0
2017-07-09,591.0350275,1.0,0.0
2017-07-10,2397.495,1.0,0.0
2017-07-11,107.58837500000001,1.0,0.0
2017-07-12,6151.35,1.0,0.0
2017-07-13,9883.55,1.0,0.0
2017-07-14,10448.1,1.0,0.0
2017-07-15,4261.635,1.0,0.0
2017-07-16,-149.15,1.0,0.0
2017-07-17,-1066.8475,1.0,0.0
2017-07-18,-762.7175000000001,0.0,0.0
2017-07-19,319.51750000000004,0.0,0.0
2017-07-20,1454.65275,0.0,0.0
2017-07-21,-426.50975,0.0,0.0
2017-07-22,340.96725000000004,0.0,0.0
2017-07-23,983.1949999999999,0.0,0.0
2017-07-24,4027.075,0.0,47.5
2017-07-25,4243.975,0.0,47.5
2017-07-26,-551.12,0.0,47.5
2017-07-27,-153.860725,0.0,47.5
2017-07-28,-618.1125,0.0,0.0
2017-07-29,-658.36725,0.0,0.0
2017-07-30,260.485,0.0,0.0
2017-07-31,787.7725,0.0,0.0
2017-08-01,-916.774925,0.0,45.5
2017-08-02,-801.082575,0.0,45.5
2017-08-03,-1484.45,0.0,45.5
2017-08-04,4435.47025,0.0,0.0
2017-08-05,9411.775,0.0,0.0
2017-08-06,7711.45,0.0,0.0
2017-08-07,2052.6006075,0.0,0.0
2017-08-08,1289.145,0.0,0.0
2017-08-09,3257.815,0.0,0.0
2017-08-10,5008.325,0.0,0.0
2017-08-11,5358.525,0.0,0.0
2017-08-12,4612.150000000001,0.0,0.0
2017-08-13,931.0625,0.0,0.0
2017-08-14,277.901,0.0,0.0
2017-08-15,401.471,0.0,0.0
2017-08-16,-48.682,0.0,0.0
