fecha,UI,abierto/cerrado,ao
2016-01-01,-1464.185,0.0,65.8
2016-01-02,-4898.85,0.0,65.8
2016-01-03,-1116.205,0.0,65.8
2016-01-04,460.7175,0.0,65.8
2016-01-05,-2281.3025,0.0,65.8
2016-01-06,-6966.55,0.0,65.8
2016-01-07,-7678.09,0.0,65.8
2016-01-08,-4473.83875,0.0,65.8
2016-01-09,-6301.525,0.0,65.8
2016-01-10,-2875.2625,0.0,65.8
2016-01-11,-405.90274999999997,0.0,65.8
2016-01-12,-2591.17075,0.0,0.0
2016-01-13,-2538.3500000000004,0.0,0.0
2016-01-14,1049.1100000000001,0.0,0.0
2016-01-15,237.1925,0.0,0.0
2016-01-16,-4434.18425,0.0,0.0
2016-01-17,-2142.245,0.0,0.0
2016-01-18,-1043.37075,0.0,0.0
2016-01-19,-2546.4475,0.0,0.0
2016-01-20,-2105.125,0.0,0.0
2016-01-21,-2692.575,0.0,0.0
2016-01-22,-1370.05,0.0,0.0
2016-01-23,-1480.2125,0.0,0.0
2016-01-24,-3543.3375,0.0,0.0
2016-01-25,-599.5035,0.0,0.0
2016-01-26,-3659.075,0.0,0.0
2016-01-27,-1593.9824999999998,0.0,0.0
2016-01-28,1260.22225,0.0,0.0
2016-01-29,-557.72425,0.0,0.0
2016-01-30,-1578.42,0.0,0.0
2016-01-31,-337.18725,0.0,0.0
2016-02-01,-148.70620000000002,0.0,53.1
2016-02-02,838.211,0.0,53.1
2016-02-03,1109.801275,0.0,53.1
2016-02-04,-367.14,0.0,53.1
2016-02-05,-5261.4974999999995,0.0,53.1
2016-02-06,-857.0274999999999,0.0,53.1
2016-02-07,-2922.075,0.0,53.1
2016-02-08,-3310.6,0.0,53.1
2016-02-09,-2269.675,0.0,53.1
2016-02-10,-188.09775,0.0,53.1
2016-02-11,-2279.275,0.0,53.1
2016-02-12,-2403.5,0.0,0.0
2016-02-13,-8.50500000000011,0.0,0.0
2016-02-14,4303.725,0.0,0.0
2016-02-15,906.36375,0.0,0.0
2016-02-16,-327.94449999999995,0.0,52.6
2016-02-17,847.6375,0.0,52.6
2016-02-18,309.62675,0.0,52.6
2016-02-19,-722.4125,0.0,0.0
2016-02-20,1128.73225,0.0,0.0
2016-02-21,-236.40324999999999,0.0,0.0
2016-02-22,-333.82,0.0,41.9
2016-02-23,-2874.125,0.0,41.9
2016-02-24,320.224375,0.0,41.9
2016-02-25,-238.835,0.0,41.9
2016-02-26,3977.025,0.0,41.9
2016-02-27,3726.0,0.0,41.9
2016-02-28,2204.075,0.0,41.9
2016-02-29,1693.693,0.0,0.0
2016-03-01,-147.63299999999998,0.0,0.0
2016-03-02,362.59274999999997,0.0,0.0
2016-03-03,-616.928,0.0,0.0
2016-03-04,1242.45,0.0,0.0
2016-03-05,1246.4475,0.0,0.0
2016-03-06,2371.885,0.0,0.0
2016-03-07,1396.9225000000001,0.0,0.0
2016-03-08,68.49249999999998,0.0,0.0
2016-03-09,1383.8125,0.0,0.0
2016-03-10,934.7986050000001,0.0,0.0
2016-03-11,2356.3375,0.0,0.0
2016-03-12,529.15375,0.0,0.0
2016-03-13,458.6425,0.0,0.0
2016-03-14,-864.6734,0.0,0.0
2016-03-15,318.04775,0.0,0.0
2016-03-16,1450.8575,0.0,0.0
2016-03-17,-1113.3507749999999,0.0,0.0
2016-03-18,-82.12427500000001,0.0,0.0
2016-03-19,376.86625,0.0,0.0
2016-03-20,4998.825,0.0,0.0
2016-03-21,5170.95,0.0,47.0
2016-03-22,3392.3250000000003,0.0,47.0
2016-03-23,3793.2825,0.0,0.0
2016-03-24,-1888.215,0.0,0.0
2016-03-25,-4975.175,0.0,0.0
2016-03-26,-2922.3525,1.0,0.0
2016-03-27,-6289.5575,1.0,0.0
2016-03-28,-2307.634,1.0,0.0
2016-03-29,-800.8500000000004,1.0,0.0
2016-03-30,2414.625,1.0,215.3
2016-03-31,390.68050000000005,1.0,215.3
2016-04-01,-2454.255,1.0,215.3
2016-04-02,-4712.125,1.0,215.3
2016-04-03,-724.53175,1.0,215.3
2016-04-04,1488.33,1.0,215.3
2016-04-05,635.341125,1.0,215.3
2016-04-06,4223.4,1.0,215.3
2016-04-07,1324.4091,1.0,1271.8
2016-04-08,183.3335,1.0,1271.8
2016-04-09,-4773.8025,1.0,1271.8
2016-04-10,-4213.26,1.0,1271.8
2016-04-11,-5960.950000000001,1.0,1271.8
2016-04-12,-4229.3,1.0,1271.8
2016-04-13,-4936.099999999999,1.0,1271.8
2016-04-14,-666.735,1.0,1271.8
2016-04-15,-313.89750000000004,1.0,1271.8
2016-04-16,834.04,1.0,1271.8
2016-04-17,873.6200000000001,1.0,1271.8
2016-04-18,195.82703999999998,1.0,1271.8
2016-04-19,-1669.5610000000001,1.0,1271.8
2016-04-20,-2511.7775,1.0,568.8
2016-04-21,-727.2325000000001,1.0,568.8
2016-04-22,-41.939,1.0,568.8
2016-04-23,1594.8575,1.0,568.8
2016-04-24,4708.8,1.0,568.8
2016-04-25,3381.575,1.0,568.8
2016-04-26,3538.9,1.0,568.8
2016-04-27,4951.5,1.0,820.6
2016-04-28,6363.675,1.0,820.6
2016-04-29,3887.785,1.0,820.6
2016-04-30,4823.655,1.0,820.6
2016-05-01,4338.6,1.0,820.6
2016-05-02,6331.85,1.0,820.6
2016-05-03,686.6800000000001,1.0,820.6
2016-05-04,827.84,1.0,875.9
2016-05-05,-43.795175,1.0,875.9
2016-05-06,-1278.255,1.0,875.9
2016-05-07,-4271.025,1.0,875.9
2016-05-08,-2722.165,1.0,875.9
2016-05-09,-538.5450000000001,1.0,875.9
2016-05-10,-1783.8285,1.0,875.9
2016-05-11,346.919,1.0,810.1
2016-05-12,304.1125,1.0,810.1
2016-05-13,441.3625,1.0,810.1
2016-05-14,1058.23025,1.0,810.1
2016-05-15,4503.175,1.0,810.1
2016-05-16,3500.3500000000004,1.0,810.1
2016-05-17,1446.5500000000002,1.0,810.1
2016-05-18,83.005,1.0,810.1
2016-05-19,921.905,1.0,810.1
2016-05-20,-1294.4625,1.0,810.1
2016-05-21,-521.85725,1.0,810.1
2016-05-22,261.855,1.0,810.1
2016-05-23,-829.339875,1.0,810.1
2016-05-24,-1458.2125,1.0,810.1
2016-05-25,-987.97,1.0,810.1
2016-05-26,-1256.5025,1.0,810.1
2016-05-27,-2608.35,1.0,810.1
2016-05-28,-2311.5,1.0,810.1
2016-05-29,-472.57349999999997,1.0,810.1
2016-05-30,988.3699999999999,1.0,810.1
2016-05-31,4033.825,1.0,810.1
2016-06-01,2006.375,1.0,810.1
2016-06-02,5.617499999999993,1.0,810.1
2016-06-03,-241.887125,1.0,810.1
2016-06-04,-684.38975,1.0,810.1
2016-06-05,-827.3825,1.0,810.1
2016-06-06,155.15087499999998,1.0,810.1
2016-06-07,227.49295,1.0,810.1
2016-06-08,512.5450000000001,1.0,810.1
2016-06-09,722.03575,1.0,723.4
2016-06-10,-16.868750000000034,1.0,723.4
2016-06-11,-559.6475,1.0,723.4
2016-06-12,-326.612,1.0,723.4
2016-06-13,-622.0775,1.0,723.4
2016-06-14,-1144.11,1.0,723.4
2016-06-15,584.4300000000001,1.0,723.4
2016-06-16,292.535,1.0,723.4
2016-06-17,393.325,1.0,723.4
2016-06-18,1250.6185,1.0,723.4
2016-06-19,2208.775,1.0,723.4
2016-06-20,1559.2275,1.0,723.4
2016-06-21,3003.2749999999996,1.0,723.4
2016-06-22,2291.77525,1.0,655.6
2016-06-23,3526.0025,1.0,655.6
2016-06-24,8095.675,1.0,655.6
2016-06-25,12766.3,1.0,655.6
2016-06-26,8087.275,1.0,655.6
2016-06-27,5554.325000000001,1.0,655.6
2016-06-28,3628.975,1.0,655.6
2016-06-29,322.0865,1.0,655.6
2016-06-30,127.88650000000001,1.0,410.5
2016-07-01,1595.24,1.0,410.5
2016-07-02,6242.025,1.0,410.5
2016-07-03,9308.9,1.0,410.5
2016-07-04,8554.275,1.0,410.5
2016-07-05,7211.975,1.0,410.5
2016-07-06,764.0074999999999,1.0,410.5
2016-07-07,2248.565,1.0,107.6
2016-07-08,1600.85,1.0,107.6
2016-07-09,368.9925,1.0,107.6
2016-07-10,-80.67,1.0,107.6
2016-07-11,558.46325,1.0,179.9333333333333
2016-07-12,2351.125,1.0,179.9333333333333
2016-07-13,4857.0599999999995,1.0,196.4
2016-07-14,3376.765,1.0,196.4
2016-07-15,116.76525,1.0,196.4
2016-07-16,-68.27722499999999,1.0,196.4
2016-07-17,-24.12395,1.0,196.4
2016-07-18,-75.0788,1.0,196.4
2016-07-19,-112.33275,1.0,196.4
2016-07-20,134.2235,1.0,227.3
2016-07-21,161.04975000000002,1.0,227.3
2016-07-22,4684.975,1.0,227.3
2016-07-23,4536.3,1.0,227.3
2016-07-24,6416.7,1.0,227.3
2016-07-25,5419.45,1.0,227.3
2016-07-26,12223.125,1.0,322.7
2016-07-27,10404.225,1.0,322.7
2016-07-28,10452.525,1.0,322.7
2016-07-29,10887.175,1.0,75.6
2016-07-30,3002.5249999999996,1.0,75.6
2016-07-31,5156.05,1.0,75.6
2016-08-01,5443.35,1.0,134.23333333333332
2016-08-02,3719.155,1.0,134.23333333333332
2016-08-03,-568.89,1.0,72.6
2016-08-04,1265.3274999999999,1.0,72.6
2016-08-05,3528.125,1.0,86.8
2016-08-06,2567.19,1.0,86.8
2016-08-07,5053.975,1.0,86.8
2016-08-08,8465.675,1.0,116.1
2016-08-09,11765.975,1.0,116.1
2016-08-10,6430.2,1.0,156.23333333333332
2016-08-11,309.32925,1.0,156.23333333333332
2016-08-12,21.2955,1.0,156.23333333333332
2016-08-13,580.525,1.0,156.23333333333332
2016-08-14,145.70075,1.0,156.23333333333332
2016-08-15,-773.0225,1.0,156.23333333333332
2016-08-16,-1152.40275,1.0,156.23333333333332
2016-08-17,641.638,1.0,136.1
2016-08-18,-1461.5325,1.0,136.1
2016-08-19,-145.811,1.0,934.2666666666668
2016-08-20,1116.72,1.0,934.2666666666668
2016-08-21,2480.91,1.0,934.2666666666668
2016-08-22,623.91525,1.0,934.2666666666668
2016-08-23,3184.9624999999996,1.0,934.2666666666668
2016-08-24,720.12,1.0,934.2666666666668
2016-08-25,6548.15,1.0,934.2666666666668
2016-08-26,1526.35,1.0,934.2666666666668
2016-08-27,283.276,1.0,934.2666666666668
2016-08-28,2063.17,1.0,934.2666666666668
2016-08-29,5179.025,1.0,934.2666666666668
2016-08-30,3836.625,1.0,934.2666666666668
2016-08-31,6945.475,1.0,2822.6
2016-09-01,3142.825,1.0,2822.6
2016-09-02,1134.685,1.0,2822.6
2016-09-03,602.8215,1.0,2822.6
2016-09-04,877.5,1.0,2822.6
2016-09-05,584.265,1.0,2822.6
2016-09-06,73.149,1.0,2822.6
2016-09-07,605.3985,1.0,2822.6
2016-09-08,-315.40049999999997,1.0,1047.6
2016-09-09,-1311.28525,1.0,1047.6
2016-09-10,146.763140145,1.0,1047.6
2016-09-11,-2842.3824999999997,1.0,1047.6
2016-09-12,-736.5175000000002,1.0,1047.6
2016-09-13,227.557,1.0,1047.9
2016-09-14,-134.2025,1.0,1047.9
2016-09-15,536.08575,1.0,1047.9
2016-09-16,3563.25,1.0,1047.9
2016-09-17,3659.425,1.0,1047.9
2016-09-18,2496.4775,1.0,1047.9
2016-09-19,6060.975,1.0,1047.9
2016-09-20,3291.6,1.0,1047.9
2016-09-21,897.0540000000001,1.0,1019.6
2016-09-22,-88.24249999999999,1.0,1019.6
2016-09-23,-2342.06875,1.0,1019.6
2016-09-24,-628.7725,1.0,1019.6
2016-09-25,1521.4745,1.0,1019.6
2016-09-26,155.08493225,1.0,1019.6
2016-09-27,2648.5,1.0,1019.6
2016-09-28,478.373725,1.0,1019.6
2016-09-29,90.9292025,1.0,299.5
2016-09-30,871.21,1.0,299.5
2016-10-01,-75.22225,1.0,299.5
2016-10-02,-117.05625,1.0,299.5
2016-10-03,-1297.4,1.0,299.5
2016-10-04,3185.025,1.0,299.5
2016-10-05,2014.065,1.0,299.5
2016-10-06,-144.723,1.0,60.6
2016-10-07,425.86225,1.0,60.6
2016-10-08,3790.625,1.0,60.6
2016-10-09,845.91925,1.0,60.6
2016-10-10,-2281.74325,1.0,61.333333333333336
2016-10-11,-1129.0675,1.0,61.333333333333336
2016-10-12,29.39240000000001,1.0,61.333333333333336
2016-10-13,1708.7725,1.0,57.6
2016-10-14,-2193.0525,1.0,57.6
2016-10-15,-2819.4925,1.0,57.6
2016-10-16,-364.1025,0.0,57.6
2016-10-17,2073.215,0.0,217.2
2016-10-18,890.805,0.0,217.2
2016-10-19,2059.975,0.0,217.2
2016-10-20,499.26025,0.0,217.2
2016-10-21,-569.5074999999999,1.0,217.2
2016-10-22,-4266.975,1.0,217.2
2016-10-23,-2597.7525,1.0,217.2
2016-10-24,137.8565,1.0,217.2
2016-10-25,319.13750000000005,1.0,217.2
2016-10-26,222.5435,1.0,217.2
2016-10-27,-19.353999999999996,1.0,217.2
2016-10-28,-31.9932,1.0,217.2
2016-10-29,-189.487,1.0,217.2
2016-10-30,-229.7095,1.0,217.2
2016-10-31,-1045.0275000000001,1.0,217.2
2016-11-01,-772.2425,1.0,217.2
2016-11-02,-443.3225,1.0,217.2
2016-11-03,-482.5625,1.0,217.2
2016-11-04,808.8325,1.0,217.2
2016-11-05,367.09749999999997,1.0,217.2
2016-11-06,309.63225,1.0,217.2
2016-11-07,94.51775,1.0,217.2
2016-11-08,-1315.1257500000002,1.0,217.2
2016-11-09,-361.64194999999995,1.0,217.2
2016-11-10,-1292.475,1.0,1739.4
2016-11-11,-643.80425,1.0,1739.4
2016-11-12,1955.95,1.0,1739.4
2016-11-13,2644.5,1.0,1739.4
2016-11-14,817.6202499999999,1.0,1739.4
2016-11-15,-19.574,1.0,1739.4
2016-11-16,133.95075,1.0,1739.4
2016-11-17,-4.786749999999995,1.0,995.9
2016-11-18,-1420.0255,1.0,995.9
2016-11-19,-2996.2675,1.0,995.9
2016-11-20,-4628.2,1.0,995.9
2016-11-21,-91.1015,1.0,995.9
2016-11-22,1463.0,1.0,995.9
2016-11-23,-625.3549999999999,1.0,995.9
2016-11-24,6743.65,1.0,887.0
2016-11-25,1220.8474999999999,1.0,887.0
2016-11-26,180.3325,1.0,887.0
2016-11-27,352.86,1.0,887.0
2016-11-28,-150.395,1.0,887.0
2016-11-29,-517.65125,1.0,887.0
2016-11-30,-1018.5550000000001,1.0,887.0
2016-12-01,-650.295,1.0,733.7
2016-12-02,-1110.6200000000001,1.0,733.7
2016-12-03,-653.615,1.0,733.7
2016-12-04,-87.79448500000001,1.0,733.7
2016-12-05,-545.492,1.0,733.7
2016-12-06,-861.8875,1.0,733.7
2016-12-07,-1709.7150000000001,1.0,733.7
2016-12-08,-2783.3,1.0,733.7
2016-12-09,-3018.5200000000004,1.0,733.7
2016-12-10,-2471.625,1.0,733.7
2016-12-11,-1076.8475,1.0,733.7
2016-12-12,-1037.2875,1.0,733.7
2016-12-13,-4536.625,1.0,367.4
2016-12-14,-2681.2349999999997,1.0,367.4
2016-12-15,745.6500000000001,1.0,367.4
2016-12-16,1025.5325,1.0,367.4
2016-12-17,270.51425,1.0,367.4
2016-12-18,114.25225,1.0,367.4
2016-12-19,1081.7675,1.0,367.4
2016-12-20,-500.7355,1.0,367.4
2016-12-21,-710.9,1.0,367.4
2016-12-22,-413.9375,1.0,219.9
2016-12-23,-93.67775,1.0,219.9
2016-12-24,-68.362,1.0,219.9
2016-12-25,-41.94475,1.0,219.9
2016-12-26,-131.62525,1.0,133.5
2016-12-27,-111.8335,1.0,133.5
2016-12-28,-55.54625,1.0,174.70000000000002
2016-12-29,-245.29649999999998,1.0,174.70000000000002
2016-12-30,-455.52750000000003,1.0,72.7
2016-12-31,-585.135,1.0,72.7
