fecha,UI,abierto/cerrado,ao
2014-10-01,2154.4875,1.0,2791.0
2014-10-02,365.0655,1.0,2791.0
2014-10-03,354.00525,1.0,2791.0
2014-10-04,2358.15,1.0,2791.0
2014-10-05,-2216.6025,1.0,2791.0
2014-10-06,-579.5675,1.0,2791.0
2014-10-07,-1647.0725,1.0,2791.0
2014-10-08,-466.6675,1.0,2791.0
2014-10-09,-113.862375,1.0,2791.0
2014-10-10,-1638.075,1.0,488.1
2014-10-11,-713.045,1.0,488.1
2014-10-12,-861.7250000000001,1.0,488.1
2014-10-13,-2651.05,1.0,488.1
2014-10-14,-3672.725,1.0,488.1
2014-10-15,-885.0775,1.0,488.1
2014-10-16,-4740.22975,1.0,230.2
2014-10-17,-8375.575,1.0,230.2
2014-10-18,-3974.2625,1.0,230.2
2014-10-19,176.87075000000002,1.0,230.2
2014-10-20,24.643475000000002,1.0,230.2
2014-10-21,312.789,1.0,230.2
2014-10-22,102.5596435,1.0,230.2
2014-10-23,-54.08875,1.0,226.9
2014-10-24,259.53650000000005,1.0,226.9
2014-10-25,10.217000000000013,1.0,226.9
2014-10-26,-316.4375,1.0,226.9
2014-10-27,-1905.975,1.0,226.9
2014-10-28,-604.86,1.0,124.2
2014-10-29,-748.2974999999999,1.0,154.33333333333334
2014-10-30,-2795.09,1.0,154.33333333333334
2014-10-31,416.77500000000003,1.0,83.3
