fecha,UI,abierto/cerrado,ao
2015-09-01,8879.474999999999,1.0,268.2
2015-09-02,8352.325,1.0,268.2
2015-09-03,9375.6,1.0,268.2
2015-09-04,6951.45,1.0,268.2
2015-09-05,3547.7,1.0,268.2
2015-09-06,749.28,1.0,268.2
2015-09-07,162.316,1.0,268.2
2015-09-08,-1226.5900000000001,1.0,268.2
2015-09-09,83.22949999999999,1.0,105.7
2015-09-10,-500.1325,1.0,105.7
2015-09-11,1188.1750000000002,1.0,103.63333333333333
2015-09-12,-3060.8574999999996,0.0,103.63333333333333
2015-09-13,-348.635,0.0,103.63333333333333
2015-09-14,-5553.375,0.0,127.5
2015-09-15,-9713.199999999999,0.0,127.5
2015-09-16,-917.2555,0.0,127.5
2015-09-17,-55.52595,0.0,71.8
2015-09-18,454.472,0.0,71.8
2015-09-19,565.16,0.0,71.8
2015-09-20,225.34025,0.0,71.8
2015-09-21,735.6682500000001,1.0,203.5
2015-09-22,311.8606775,1.0,203.5
2015-09-23,2294.275,1.0,203.5
2015-09-24,446.4995,1.0,203.5
2015-09-25,46.783122500000005,1.0,203.5
2015-09-26,86.0135,1.0,203.5
2015-09-27,350.2575,1.0,203.5
2015-09-28,91.70375000000001,1.0,203.5
2015-09-29,677.271105,1.0,203.5
2015-09-30,-756.0805,1.0,203.5
