fecha,UI,abierto/cerrado,ao
2014-07-10,5169.225,1.0,186.8
2014-07-11,6761.425,1.0,145.0
2014-07-12,4691.150000000001,1.0,145.0
2014-07-13,1717.06,1.0,145.0
2014-07-14,4199.475,1.0,112.53333333333336
2014-07-15,2294.97,1.0,112.53333333333336
2014-07-16,-1227.89,0.0,112.53333333333336
2014-07-17,-1161.95,0.0,128.4
2014-07-18,-1798.2725,0.0,128.4
2014-07-19,-211.52849999999998,0.0,128.4
2014-07-20,370.75475,0.0,128.4
2014-07-21,3665.05,0.0,128.4
2014-07-22,729.0725,0.0,128.4
2014-07-23,1595.6950000000002,0.0,128.4
2014-07-24,6069.075,0.0,128.4
2014-07-25,6799.125,0.0,128.4
2014-07-26,7487.325,0.0,128.4
2014-07-27,4779.975,0.0,128.4
2014-07-28,6015.4,0.0,128.4
2014-07-29,6958.9,0.0,128.4
2014-07-30,3120.45,0.0,128.4
2014-07-31,2154.2025,0.0,128.4
2014-08-01,-1626.175,0.0,128.4
2014-08-02,153.07150000000001,0.0,128.4
2014-08-03,-52.5455,0.0,128.4
2014-08-04,-249.917,1.0,128.4
2014-08-05,-601.3695,1.0,128.4
2014-08-06,-496.76,1.0,128.4
2014-08-07,-1000.4499999999999,1.0,128.4
2014-08-08,-518.79,1.0,128.4
2014-08-09,-1584.6925,1.0,128.4
2014-08-10,2023.3405,1.0,128.4
2014-08-11,-723.8800000000001,1.0,128.4
2014-08-12,249.1965,1.0,128.4
2014-08-13,456.7905,1.0,128.4
2014-08-14,1205.0035,1.0,128.4
2014-08-15,5678.1,1.0,128.4
2014-08-16,4830.3375,1.0,128.4
2014-08-17,4085.725,1.0,128.4
2014-08-18,4717.05,1.0,128.4
2014-08-19,3996.975,1.0,128.4
2014-08-20,2909.75,1.0,128.4
2014-08-21,3437.05,1.0,128.4
2014-08-22,3531.45,1.0,3390.7
2014-08-23,1905.7525,1.0,3390.7
2014-08-24,-1387.9375,1.0,3390.7
2014-08-25,-3322.7250000000004,1.0,3390.7
2014-08-26,-2079.695,1.0,3390.7
2014-08-27,111.74879999999999,1.0,3390.7
2014-08-28,340.0645,1.0,3390.7
2014-08-29,5472.625,1.0,3390.7
2014-08-30,4710.45,1.0,3390.7
2014-08-31,2351.6,1.0,3390.7
2014-09-01,74.65174999999999,1.0,3390.7
2014-09-02,-657.4525,1.0,3390.7
2014-09-03,-319.0138,1.0,3390.7
2014-09-04,-387.125,1.0,2791.0
2014-09-05,-1268.3975,1.0,2791.0
2014-09-06,-788.31675,1.0,2791.0
2014-09-07,-559.5525,1.0,2791.0
2014-09-08,100.8566,1.0,2791.0
2014-09-09,61.94499999999999,1.0,2791.0
2014-09-10,-1515.02,1.0,2791.0
2014-09-11,-1434.9325,1.0,2791.0
2014-09-12,-135.289675,1.0,2791.0
2014-09-13,-856.9125,1.0,2791.0
2014-09-14,-2425.375,1.0,2791.0
2014-09-15,-1746.9750000000001,1.0,2791.0
2014-09-16,-3413.95,1.0,2791.0
2014-09-17,-7718.6,1.0,2791.0
2014-09-18,-3538.525,1.0,2791.0
2014-09-19,-5228.95,1.0,2791.0
2014-09-20,-1057.9834999999998,1.0,2791.0
2014-09-21,1864.875,1.0,2791.0
2014-09-22,1108.01925,1.0,2791.0
2014-09-23,6066.875,1.0,2791.0
2014-09-24,4072.85,1.0,2791.0
2014-09-25,516.4649999999999,1.0,2791.0
2014-09-26,307.643625,1.0,2791.0
2014-09-27,70.8915,1.0,2791.0
2014-09-28,6.1497,1.0,2791.0
2014-09-29,259.07099999999997,1.0,2791.0
2014-09-30,3614.8,1.0,2791.0
