fecha,ao
2014-09-18,2791.0
2014-09-19,2791.0
2014-09-20,2791.0
2014-09-21,2791.0
2014-09-22,2791.0
2014-09-23,2791.0
2014-09-24,2791.0
2014-09-25,2791.0
2014-09-26,2791.0
2014-09-27,2791.0
2014-09-28,2791.0
2014-09-29,2791.0
2014-09-30,2791.0
2014-10-01,2791.0
2014-10-02,2791.0
2014-10-03,2791.0
2014-10-04,2791.0
2014-10-05,2791.0
2014-10-06,2791.0
2014-10-07,2791.0
2014-10-08,2791.0
2014-10-09,2791.0
2014-10-10,488.1
2014-10-11,488.1
2014-10-12,488.1
2014-10-13,488.1
2014-10-14,488.1
2014-10-15,488.1
2014-10-16,230.2
2014-10-17,230.2
2014-10-18,230.2
2014-10-19,230.2
2014-10-20,230.2
2014-10-21,230.2
2014-10-22,230.2
2014-10-23,226.9
2014-10-24,226.9
2014-10-25,226.9
2014-10-26,226.9
2014-10-27,226.9
2014-10-28,124.2
2014-10-29,154.33333333333334
2014-10-30,154.33333333333334
2014-10-31,83.3
2014-11-01,83.3
2014-11-02,83.3
2014-11-03,96.66666666666669
2014-11-04,96.66666666666669
2014-11-05,83.4
2014-11-06,100.4
2014-11-07,55.2
2014-11-08,55.2
2014-11-09,55.2
2014-11-10,62.6
2014-11-11,62.6
2014-11-12,62.6
2014-11-13,62.6
2014-11-14,62.6
2014-11-15,62.6
2014-11-16,62.6
2014-11-17,61.5
2014-11-18,61.5
2014-11-19,82.1
2014-11-20,82.1
2014-11-21,82.1
2014-11-22,82.1
2014-11-23,82.1
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,0.0
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,56.1
2014-12-02,56.1
2014-12-03,56.1
2014-12-04,56.1
2014-12-05,56.1
2014-12-06,56.1
2014-12-07,56.1
2014-12-08,56.1
2014-12-09,56.1
2014-12-10,56.1
2014-12-11,56.1
2014-12-12,56.1
2014-12-13,56.1
2014-12-14,56.1
2014-12-15,56.1
2014-12-16,56.1
2014-12-17,56.1
2014-12-18,0.0
2014-12-19,0.0
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,0.0
2014-12-25,0.0
2014-12-26,0.0
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
