fecha,UI,abierto/cerrado
2016-07-01,1595.24,1
2016-07-02,6242.025,1
2016-07-03,9308.9,1
2016-07-04,8554.275,1
2016-07-05,7211.975,1
2016-07-06,764.0074999999999,1
2016-07-07,2248.565,1
2016-07-08,1600.85,1
2016-07-09,368.9925,1
2016-07-10,-80.67,1
2016-07-11,558.46325,1
2016-07-12,2351.125,1
2016-07-13,4857.0599999999995,1
2016-07-14,3376.765,1
2016-07-15,116.76525,1
2016-07-16,-68.27722499999999,1
2016-07-17,-24.12395,1
2016-07-18,-75.0788,1
2016-07-19,-112.33275,1
2016-07-20,134.2235,1
2016-07-21,161.04975000000002,1
2016-07-22,4684.975,1
2016-07-23,4536.3,1
2016-07-24,6416.7,1
2016-07-25,5419.45,1
2016-07-26,12223.125,1
2016-07-27,10404.225,1
2016-07-28,10452.525,1
2016-07-29,10887.175,1
2016-07-30,3002.5249999999996,1
2016-07-31,5156.05,1
2016-08-01,5443.35,1
2016-08-02,3719.155,1
2016-08-03,-568.89,1
2016-08-04,1265.3274999999999,1
2016-08-05,3528.125,1
2016-08-06,2567.19,1
2016-08-07,5053.975,1
2016-08-08,8465.675,1
2016-08-09,11765.975,1
2016-08-10,6430.2,1
2016-08-11,309.32925,1
2016-08-12,21.2955,1
2016-08-13,580.525,1
2016-08-14,145.70075,1
2016-08-15,-773.0225,1
2016-08-16,-1152.40275,1
2016-08-17,641.638,1
2016-08-18,-1461.5325,1
2016-08-19,-145.811,1
2016-08-20,1116.72,1
2016-08-21,2480.91,1
2016-08-22,623.91525,1
2016-08-23,3184.9624999999996,1
2016-08-24,720.12,1
2016-08-25,6548.15,1
2016-08-26,1526.35,1
2016-08-27,283.276,1
2016-08-28,2063.17,1
2016-08-29,5179.025,1
2016-08-30,3836.625,1
2016-08-31,6945.475,1
2016-09-01,3142.825,1
2016-09-02,1134.685,1
2016-09-03,602.8215,1
2016-09-04,877.5,1
2016-09-05,584.265,1
2016-09-06,73.149,1
2016-09-07,605.3985,1
2016-09-08,-315.40049999999997,1
2016-09-09,-1311.28525,1
2016-09-10,146.763140145,1
2016-09-11,-2842.3824999999997,1
2016-09-12,-736.5175000000002,1
2016-09-13,227.557,1
2016-09-14,-134.2025,1
2016-09-15,536.08575,1
2016-09-16,3563.25,1
2016-09-17,3659.425,1
2016-09-18,2496.4775,1
2016-09-19,6060.975,1
2016-09-20,3291.6,1
2016-09-21,897.0540000000001,1
2016-09-22,-88.24249999999999,1
2016-09-23,-2342.06875,1
2016-09-24,-628.7725,1
2016-09-25,1521.4745,1
2016-09-26,155.08493225,1
2016-09-27,2648.5,1
2016-09-28,478.373725,1
2016-09-29,90.9292025,1
2016-09-30,871.21,1
2016-10-01,-75.22225,1
2016-10-02,-117.05625,1
2016-10-03,-1297.4,1
2016-10-04,3185.025,1
2016-10-05,2014.065,1
2016-10-06,-144.723,1
2016-10-07,425.86225,1
2016-10-08,3790.625,1
2016-10-09,845.91925,1
2016-10-10,-2281.74325,1
2016-10-11,-1129.0675,1
2016-10-12,29.39240000000001,1
2016-10-13,1708.7725,1
2016-10-14,-2193.0525,1
2016-10-15,-2819.4925,1
2016-10-16,-364.1025,0
2016-10-17,2073.215,0
2016-10-18,890.805,0
2016-10-19,2059.975,0
2016-10-20,499.26025,0
2016-10-21,-569.5074999999999,1
2016-10-22,-4266.975,1
2016-10-23,-2597.7525,1
2016-10-24,137.8565,1
2016-10-25,319.13750000000005,1
2016-10-26,222.5435,1
2016-10-27,-19.353999999999996,1
2016-10-28,-31.9932,1
2016-10-29,-189.487,1
2016-10-30,-229.7095,1
2016-10-31,-1045.0275000000001,1
2016-11-01,-772.2425,1
2016-11-02,-443.3225,1
2016-11-03,-482.5625,1
2016-11-04,808.8325,1
2016-11-05,367.09749999999997,1
2016-11-06,309.63225,1
2016-11-07,94.51775,1
2016-11-08,-1315.1257500000002,1
2016-11-09,-361.64194999999995,1
2016-11-10,-1292.475,1
2016-11-11,-643.80425,1
2016-11-12,1955.95,1
2016-11-13,2644.5,1
2016-11-14,817.6202499999999,1
2016-11-15,-19.574,1
2016-11-16,133.95075,1
2016-11-17,-4.786749999999995,1
2016-11-18,-1420.0255,1
2016-11-19,-2996.2675,1
2016-11-20,-4628.2,1
2016-11-21,-91.1015,1
2016-11-22,1463.0,1
2016-11-23,-625.3549999999999,1
2016-11-24,6743.65,1
2016-11-25,1220.8474999999999,1
2016-11-26,180.3325,1
2016-11-27,352.86,1
2016-11-28,-150.395,1
2016-11-29,-517.65125,1
2016-11-30,-1018.5550000000001,1
2016-12-01,-650.295,1
2016-12-02,-1110.6200000000001,1
2016-12-03,-653.615,1
2016-12-04,-87.79448500000001,1
2016-12-05,-545.492,1
2016-12-06,-861.8875,1
2016-12-07,-1709.7150000000001,1
2016-12-08,-2783.3,1
2016-12-09,-3018.5200000000004,1
2016-12-10,-2471.625,1
2016-12-11,-1076.8475,1
2016-12-12,-1037.2875,1
2016-12-13,-4536.625,1
2016-12-14,-2681.2349999999997,1
2016-12-15,745.6500000000001,1
2016-12-16,1025.5325,1
2016-12-17,270.51425,1
2016-12-18,114.25225,1
2016-12-19,1081.7675,1
2016-12-20,-500.7355,1
2016-12-21,-710.9,1
2016-12-22,-413.9375,1
2016-12-23,-93.67775,1
2016-12-24,-68.362,1
2016-12-25,-41.94475,1
2016-12-26,-131.62525,1
2016-12-27,-111.8335,1
2016-12-28,-55.54625,1
2016-12-29,-245.29649999999998,1
2016-12-30,-455.52750000000003,1
2016-12-31,-585.135,1
