ds,yhat
2015-01-01,235.86329607853958
2015-01-02,225.71934841596715
2015-01-03,218.04617194588184
2015-01-04,211.39549485224586
2015-01-05,208.29453744490047
2015-01-06,204.88741438203454
2015-01-07,216.058216853236
2015-01-08,196.42498784879672
2015-01-09,194.08819312403557
2015-01-10,194.45579736510297
2015-01-11,195.86144498634167
2015-01-12,200.61316990550887
2015-01-13,204.64165857489792
2015-01-14,222.6299917460421
2015-01-15,209.0138723536141
2015-01-16,211.73575001307785
2015-01-17,216.07477864839274
2015-01-18,220.26895809295263
2015-01-19,226.56676396518054
2015-01-20,230.8772030397439
2015-01-21,247.90016658015912
2015-01-22,232.126073043796
2015-01-23,231.58823119843385
2015-01-24,231.6899168020147
2015-01-25,230.82260455046378
2015-01-26,231.41278183453682
2015-01-27,229.566431348248
2015-01-28,240.19322780164873
2015-01-29,217.99963059752997
2015-01-30,211.23450579498734
2015-01-31,205.5094784621296
2015-02-01,199.41066440396298
2015-02-02,195.53940812268712
2015-02-03,190.15130132339527
2015-02-04,198.27569576718543
2015-02-05,174.70503705786638
2015-02-06,167.73776921270718
2015-02-07,162.99709592713702
2015-02-08,159.04229804800065
2015-02-09,158.41024884020942
2015-02-10,157.25637983706088
2015-02-11,170.4772539613282
2015-02-12,152.70398150626352
2015-02-13,152.0501066924753
2015-02-14,153.93610110772943
2015-02-15,156.70699097338104
2015-02-16,162.68056946263573
2015-02-17,167.79524443725188
2015-02-18,186.73946987056678
2015-02-19,173.95178839604853
2015-02-20,177.37491105577556
2015-02-21,182.28578148079458
2015-02-22,186.91798060637308
2015-02-23,193.51377567732987
2015-02-24,197.9747442376705
2015-02-25,214.99283310009713
2015-02-26,199.05082552959652
2015-02-27,198.1756242258105
2015-02-28,197.76631514851022
2015-03-01,196.2134219131142
2015-03-02,195.94674238552744
2015-03-03,193.08081772167895
2015-03-04,202.5400415641916
2015-03-05,179.05255415636373
2015-03-06,170.89651925009474
2015-03-07,163.72095229281717
2015-03-08,156.15772022608763
2015-03-09,150.86231608369786
2015-03-10,144.15266492759986
2015-03-11,151.1281637876932
2015-03-12,126.66164887223226
2015-03-13,119.13119045812363
2015-03-14,114.24771886033881
2015-03-15,110.6614938280353
2015-03-16,111.0019383375373
2015-03-17,111.51675208318682
2015-03-18,127.19250056247182
2015-03-19,112.74595972330002
2015-03-20,116.369892352394
2015-03-21,123.55544384235867
2015-03-22,132.7077371551144
2015-03-23,146.19217123740253
2015-03-24,159.98052501886787
2015-03-25,188.77886435632138
2015-03-26,187.02632442371203
2015-03-27,202.64823338745657
2015-03-28,220.8855579118698
2015-03-29,239.91705247916042
2015-03-30,261.9114339152361
2015-03-31,282.67852061670976
2015-04-01,316.8011960682361
2015-04-02,318.63716013464335
2015-04-03,336.0738567341308
2015-04-04,354.3585150745215
2015-04-05,371.71967801601784
2015-04-06,390.4175655274133
2015-04-07,406.3922733074913
2015-04-08,434.3917587744067
2015-04-09,428.96869963726033
2015-04-10,438.2297607580149
2015-04-11,447.65937448100703
2015-04-12,455.73459182165874
2015-04-13,464.96854663687816
2015-04-14,471.55173157323924
2015-04-15,490.4732354142803
2015-04-16,476.51121737747684
2015-04-17,477.9763317848553
2015-04-18,480.5303682644334
2015-04-19,482.7968025635539
2015-04-20,487.4009116426202
2015-04-21,490.6087342016101
2015-04-22,507.4470772772754
2015-04-23,492.69386294743674
2015-04-24,494.6225143028538
2015-04-25,498.8225996119509
2015-04-26,503.81335328112465
2015-04-27,512.0876231786692
2015-04-28,519.7553971850576
2015-04-29,541.6689612650878
2015-04-30,532.4188194004943
2015-05-01,540.0839006291479
2015-05-02,550.0580933681396
2015-05-03,560.6695475390386
2015-05-04,574.2301220636846
2015-05-05,586.6839698623875
2015-05-06,612.7371679810237
2015-05-07,606.857398837454
2015-05-08,617.0271073916474
2015-05-09,628.5721007053921
2015-05-10,639.7819853897689
2015-05-11,653.0208462945616
2015-05-12,664.1919679012545
2015-05-13,688.0489602431078
2015-05-14,679.1319557963029
2015-05-15,685.5176031842433
2015-05-16,692.6439003274452
2015-05-17,698.9263972339792
2015-05-18,706.8032784052746
2015-05-19,712.3784873639822
2015-05-20,730.5450033588946
2015-05-21,715.9775038345205
2015-05-22,716.878082610921
2015-05-23,718.7972448024559
2015-05-24,720.2468295917602
2015-05-25,723.7424715030908
2015-05-26,725.4448399339434
2015-05-27,740.2818184472342
2015-05-28,722.9408815135546
2015-05-29,721.6153347603339
2015-05-30,721.8266081482135
2015-05-31,722.039195047934
2015-06-01,724.7057652257135
2015-06-02,725.9115872282007
2015-06-03,740.5002993342941
2015-06-04,723.0701505274549
2015-06-05,721.7242320465941
2015-06-06,721.8967391190779
2015-06-07,721.9717068316479
2015-06-08,724.3316050269377
2015-06-09,725.0047954296624
2015-06-10,738.7937733133733
2015-06-11,720.2732178546762
2015-06-12,717.541297469126
2015-06-13,716.0462212743452
2015-06-14,714.2044599050101
2015-06-15,714.4480285921443
2015-06-16,712.8698725703237
2015-06-17,724.3493419425886
2015-06-18,703.5468711230824
2015-06-19,698.6514235758575
2015-06-20,695.2028273687292
2015-06-21,691.7055748681205
2015-06-22,690.6716405250065
2015-06-23,688.2615235556068
2015-06-24,699.4056695885681
2015-06-25,678.79554793545
2015-06-26,674.6280958106837
2015-06-27,672.4257894182554
2015-06-28,670.6490285764005
2015-06-29,671.7384768502808
2015-06-30,671.7566231572869
2015-07-01,685.5107465291045
2015-07-02,667.5465550152493
2015-07-03,665.8961703804927
2015-07-04,665.90264517877
2015-07-05,665.8375932912272
2015-07-06,667.9494405167961
2015-07-07,668.1113994358059
2015-07-08,680.9511664631809
2015-07-09,660.8514113927308
2015-07-10,655.7059649758628
2015-07-11,650.7464456715504
2015-07-12,644.1701487922759
2015-07-13,638.1920403065096
2015-07-14,628.6969959147187
2015-07-15,630.3726662614058
2015-07-16,597.7118939561253
2015-07-17,578.768029343095
2015-07-18,558.9850379547788
2015-07-19,536.8187279396986
2015-07-20,514.7864009017798
2015-07-21,489.1138844045267
2015-07-22,474.86186127786226
2015-07-23,426.92055074036324
2015-07-24,393.75625574184954
2015-07-25,361.2318712335277
2015-07-26,328.2179128394064
2015-07-27,297.6316241238386
2015-07-28,266.07339241502206
2015-07-29,248.94266973869787
2015-07-30,201.4227373360196
2015-07-31,172.2181058352158
2015-08-01,147.36690979830564
2015-08-02,125.84509889708937
2015-08-03,110.60019832125431
2015-08-04,98.18404795896026
2015-08-05,103.86685605759664
2015-08-06,82.62200000991726
2015-08-07,82.86541213449811
2015-08-08,90.27190450930328
2015-08-09,103.38517924980687
2015-08-10,124.65919044983826
2015-08-11,150.10011247474523
2015-08-12,194.39105043351395
2015-08-13,211.88868526556976
2015-08-14,250.3754166354741
2015-08-15,294.88905543434214
2015-08-16,343.34649013841147
2015-08-17,397.5986595567969
2015-08-18,453.08575015668634
2015-08-19,523.9744233749226
2015-08-20,564.1659498338931
2015-08-21,621.0585215249457
2015-08-22,679.3855329476235
2015-08-23,736.846033110279
2015-08-24,795.1645032027316
2015-08-25,849.748750033211
2015-08-26,914.8276458539758
2015-08-27,944.4575723020337
2015-08-28,986.2808767034928
2015-08-29,1025.3582245671262
2015-08-30,1059.7911964327868
2015-08-31,1091.772479884129
2015-09-01,1117.2326875197605
2015-09-02,1150.9658106659324
2015-09-03,1147.6224768365278
2015-09-04,1155.4546524446034
2015-09-05,1160.1340219963527
2015-09-06,1160.3607442892733
2015-09-07,1158.900284379395
2015-09-08,1152.58113202595
2015-09-09,1156.3185001971647
2015-09-10,1125.1879086312347
2015-09-11,1107.7980807553024
2015-09-12,1090.1028113469847
2015-09-13,1071.0052082247732
2015-09-14,1053.3921014776927
2015-09-15,1033.7680241144217
2015-09-16,1027.3710676653254
2015-09-17,989.1599876301942
2015-09-18,967.5563150877795
2015-09-19,948.2637257725394
2015-09-20,929.8812923556618
2015-09-21,914.9481515311854
2015-09-22,899.588696444067
2015-09-23,898.6402813897104
2015-09-24,866.6524825872473
2015-09-25,851.6413349161799
2015-09-26,838.9204634049502
2015-09-27,826.7254157161015
2015-09-28,817.2684294631582
2015-09-29,806.3924769273611
2015-09-30,808.7063431372205
2015-10-01,778.5895932927581
2015-10-02,763.9507096673267
2015-10-03,750.0602286397298
2015-10-04,735.1751496867727
2015-10-05,721.5918700749592
2015-10-06,705.2965611110683
