Ano,Mes,Dia,Hora,U,V,UI
2010,4,1,12,6.9689,0.21428,-25.167
2010,4,1,18,11.139,4.4838,-906.94
2010,4,2,0,16.085,7.0335,-2080
2010,4,2,6,14.442,4.4584,-1135.2
2010,4,2,12,10.577,2.0294,-368.18
2010,4,2,18,10.899,3.8988,-760.26
2010,4,3,0,14.238,3.3872,-835.08
2010,4,3,6,13.881,2.4591,-583.97
2010,4,3,12,15.124,1.0216,-260.86
2010,4,3,18,10.529,-3.0595,565.08
2010,4,4,0,4.7876,-3.3636,331.53
2010,4,4,6,3.5841,-0.11185,6.7562
2010,4,4,12,2.8172,-0.18584,8.8384
2010,4,4,18,1.1878,0.2185,-4.4454
2010,4,5,0,-1.0657,0.37786,-7.1971
2010,4,5,6,-2.8744,-0.13852,6.715
2010,4,5,12,-1.3796,-0.17757,4.1609
2010,4,5,18,-1.3117,0.23031,-5.1668
2010,4,6,0,1.2834,-1.1109,31.764
2010,4,6,6,3.439,0.582,-34.195
2010,4,6,12,6.5674,3.4241,-427.21
2010,4,6,18,2.5552,-1.3004,62.804
2010,4,7,0,-2.8142,-5.1362,506.73
2010,4,7,6,-2.1336,-1.5483,68.759
2010,4,7,12,-3.774,-7.3153,1014.3
2010,4,7,18,-11.897,-10.878,2954
2010,4,8,0,-15.78,-6.0346,1717.4
2010,4,8,6,-5.9206,-3.3771,387.76
2010,4,8,12,-2.8462,-4.195,358.24
2010,4,8,18,-1.7643,-3.473,227.9
2010,4,9,0,-2.5132,-1.3967,67.652
2010,4,9,6,0.78026,-1.2949,32.979
2010,4,9,12,-1.2421,-2.9269,156.76
2010,4,9,18,-0.20509,-3.9402,261.88
2010,4,10,0,0.36443,-0.66488,8.4921
2010,4,10,6,-0.31803,-1.012,18.083
2010,4,10,12,-4.0462,-1.7243,127.75
2010,4,10,18,-4.8301,-4.8102,552.35
2010,4,11,0,-3.4364,-1.028,62.115
2010,4,11,6,-2.7353,-2.5586,161.43
2010,4,11,12,0.97969,-4.507,350.18
2010,4,11,18,-6.6494,-6.8596,1103.9
2010,4,12,0,-18.574,-11.672,4313.5
2010,4,12,6,-21.265,-8.8554,3436.3
2010,4,12,12,-17.441,-11.31,3960.3
2010,4,12,18,-22.093,-9.4431,3821.9
2010,4,13,0,-21.127,-4.5266,1647.6
2010,4,13,6,-15.979,-5.6219,1604.2
2010,4,13,12,-11.982,-7.5978,1815.9
2010,4,13,18,-18.057,-9.2891,3177.5
2010,4,14,0,-15.14,-1.4523,372.11
2010,4,14,6,-15.718,-4.7608,1317.1
2010,4,14,12,-7.0455,-7.1744,1215.2
2010,4,14,18,-10.433,-2.8345,516.22
2010,4,15,0,-14.671,-3.392,860.37
2010,4,15,6,-14.796,-3.229,823.77
2010,4,15,12,-6.4787,-1.7291,195.32
2010,4,15,18,-3.8655,-1.6085,113.44
2010,4,16,0,-8.0604,-0.064907,8.8134
2010,4,16,6,-6.9794,0.18715,-22.011
2010,4,16,12,-11.328,-1.6454,317.29
2010,4,16,18,-5.7624,-0.40024,38.945
2010,4,17,0,-3.3118,3.6505,-303.11
2010,4,17,6,-5.278,0.96859,-87.556
2010,4,17,12,-2.3396,-0.79114,32.915
2010,4,17,18,-1.2138,-2.2173,94.416
2010,4,18,0,-2.0106,-0.016557,0.5608
2010,4,18,6,-4.8001,0.83912,-68.88
2010,4,18,12,-3.6759,-2.3688,174.5
2010,4,18,18,-2.4856,-1.4745,71.786
2010,4,19,0,0.33419,-1.4096,34.399
2010,4,19,6,-0.089398,0.090069,-0.19255
2010,4,19,12,-2.1462,-0.29845,10.894
2010,4,19,18,-2.8815,-1.1673,61.134
2010,4,20,0,-1.3091,-0.49329,11.625
2010,4,20,6,-1.9812,0.89541,-32.794
2010,4,20,12,-1.7052,-1.4624,55.339
2010,4,20,18,-3.1961,-0.088026,4.7411
2010,4,21,0,-0.43104,-1.1129,22.373
2010,4,21,6,-0.26653,0.39763,-3.2065
2010,4,21,12,-2.7515,-1.2465,63.428
2010,4,21,18,-1.6403,-1.7673,71.783
2010,4,22,0,-1.2168,-2.7455,138.89
2010,4,22,6,-0.63222,-1.5089,41.582
2010,4,22,12,0.89542,-3.3265,193.05
2010,4,22,18,3.0525,-2.3514,152.63
2010,4,23,0,2.7509,-1.7517,96.231
2010,4,23,6,1.9961,-0.24581,8.328
2010,4,23,12,2.7815,-1.4633,77.47
2010,4,23,18,1.2492,0.68132,-16.331
2010,4,24,0,3.1074,3.1034,-229.59
2010,4,24,6,1.6501,5.039,-450.09
2010,4,24,12,5.0797,4.8307,-570.44
2010,4,24,18,0.14752,-3.2247,175.36
2010,4,25,0,1.1638,2.4459,-111.6
2010,4,25,6,-2.3703,-0.36398,14.703
2010,4,25,12,-2.3296,-2.8244,174.19
2010,4,25,18,-3.1807,-6.177,722.96
2010,4,26,0,-3.589,-5.4857,605.77
2010,4,26,6,-3.5772,-4.1596,384.42
2010,4,26,12,-1.59,-4.5328,366.79
2010,4,26,18,-0.23139,-3.0843,160.7
2010,4,27,0,1.3887,-2.4105,112.96
