fecha,ao,abierto/cerrado
2018-01-01,-20.032665539528807,0.0
2018-01-02,-26.26689470566106,0.0
2018-01-03,-32.47460859624678,0.0
2018-01-04,-39.10024501805387,0.0
2018-01-05,-44.42576708083911,0.0
2018-01-06,-48.50063142007269,0.0
2018-01-07,-51.8627573130542,0.0
2018-01-08,-54.98223562179783,0.0
2018-01-09,-57.949394450239765,0.0
2018-01-10,-60.659238688434215,0.0
2018-01-11,-63.64433184852069,0.0
2018-01-12,-65.27761326289075,0.0
2018-01-13,-65.69957341602554,0.0
2018-01-14,-65.53645982184901,0.0
2018-01-15,-65.3413351463023,0.0
2018-01-16,-65.27968329101162,0.0
2018-01-17,-65.31165317279837,0.0
2018-01-18,-66.02307276710022,0.0
2018-01-19,-65.82678037580021,0.0
2018-01-20,-64.8887379454685,0.0
2018-01-21,-63.84562786478563,0.0
2018-01-22,-63.245770110580736,0.0
2018-01-23,-63.23505638634066,0.0
2018-01-24,-63.73997770941648,0.0
2018-01-25,-65.29985098640086,0.0
2018-01-26,-66.26975162753328,0.0
2018-01-27,-66.74856548756162,0.0
2018-01-28,-67.29879998929476,0.0
2018-01-29,-68.38992158730736,0.0
2018-01-30,-70.08684049591929,0.0
2018-01-31,-72.23553972027761,0.0
2018-02-01,-75.29787322564025,0.0
2018-02-02,-77.55696075736572,0.0
2018-02-03,-79.04751663030368,0.0
2018-02-04,-80.27768224587612,0.0
2018-02-05,-81.6740673816978,0.0
2018-02-06,-83.27156892491939,0.0
2018-02-07,-84.89992326965157,0.0
2018-02-08,-87.01898905706386,0.0
2018-02-09,-87.92417312318642,0.0
2018-02-10,-87.67633626911663,0.0
2018-02-11,-86.8227618724327,0.0
2018-02-12,-85.84091920053129,0.0
2018-02-13,-84.82662965905294,0.0
2018-02-14,-83.67864329974574,0.0
2018-02-15,-82.93168337184241,0.0
2018-02-16,-80.95944102995807,0.0
2018-02-17,-77.90193211547944,0.0
2018-02-18,-74.38387809566802,0.0
2018-02-19,-70.95592345824713,0.0
2018-02-20,-67.78037715439578,0.0
2018-02-21,-64.81356128761055,0.0
2018-02-22,-62.63689490027534,0.0
2018-02-23,-59.65825709515224,0.0
2018-02-24,-56.03809367775676,0.0
2018-02-25,-52.40697020518746,0.0
2018-02-26,-49.30641179647091,0.0
2018-02-27,-46.874731719559264,0.0
2018-02-28,-45.0299322521162,0.0
2018-03-01,-44.30179178380152,0.0
2018-03-02,-43.03465469317686,0.0
2018-03-03,-41.31534744134569,0.0
2018-03-04,-39.69287115897231,0.0
2018-03-05,-38.621648143352616,0.0
2018-03-06,-38.14995286179814,0.0
2018-03-07,-38.105533172151496,0.0
2018-03-08,-38.930453926100085,1.0
2018-03-09,-38.88659582084475,1.0
2018-03-10,-37.98615078290274,1.0
2018-03-11,-36.71368453948975,1.0
2018-03-12,-35.47147056193765,1.0
2018-03-13,-34.26966049445684,1.0
2018-03-14,-32.91324134388398,1.0
2018-03-15,-31.83776784149694,1.0
2018-03-16,-29.31527244025077,1.0
2018-03-17,-25.384677299164537,1.0
2018-03-18,-20.57327748918885,1.0
2018-03-19,-15.341012384752103,1.0
2018-03-20,-9.769117920878386,1.0
2018-03-21,-3.745151329519445,1.0
2018-03-22,2.2035692159062137,1.0
2018-03-23,9.706642404555367,1.0
2018-03-24,18.622980198271023,1.0
2018-03-25,28.322271955171946,1.0
2018-03-26,38.24371283617552,1.0
2018-03-27,48.21031506011624,1.0
2018-03-28,58.24672195230937,1.0
2018-03-29,67.74839683398926,1.0
2018-03-30,78.28063904187982,1.0
2018-03-31,89.65295601843292,1.0
2018-04-01,101.20207838649834,1.0
2018-04-02,112.35176431179882,1.0
2018-04-03,122.9276749379668,1.0
2018-04-04,132.97521872518905,1.0
2018-04-05,141.92823005091918,1.0
2018-04-06,151.40694341598126,1.0
2018-04-07,161.29081685390076,1.0
2018-04-08,170.99953112818054,1.0
2018-04-09,180.0503646755363,1.0
2018-04-10,188.3702922801175,1.0
2018-04-11,196.11078224428076,1.0
2018-04-12,202.81324295667355,1.0
2018-04-13,210.20367195654123,1.0
2018-04-14,218.2621564814976,1.0
2018-04-15,226.50064840191664,1.0
2018-04-16,234.5173080022836,1.0
2018-04-17,242.30585457236683,1.0
2018-04-18,250.06798142744933,1.0
2018-04-19,257.3768595817101,1.0
2018-04-20,265.9703448130755,1.0
2018-04-21,275.8195852299685,1.0
2018-04-22,286.4064853890093,1.0
2018-04-23,297.2783385487438,1.0
2018-04-24,308.3580655250495,1.0
2018-04-25,319.7581015161601,1.0
2018-04-26,330.945922447113,1.0
2018-04-27,343.5397772780873,1.0
2018-04-28,357.38026070341743,1.0
2018-04-29,371.8111068678484,1.0
2018-04-30,386.23742952485225,1.0
2018-05-01,400.43975251931727,1.0
2018-05-02,414.39177150766966,1.0
2018-05-03,427.4297348664815,1.0
2018-05-04,441.0519063075921,1.0
2018-05-05,454.9936422122393,1.0
2018-05-06,468.51136818082335,1.0
2018-05-07,480.94359201285647,1.0
2018-05-08,492.0272191301374,1.0
2018-05-09,501.7170459722955,1.0
2018-05-10,509.3562682162535,1.0
2018-05-11,516.4764309419057,1.0
2018-05-12,522.8723350464579,1.0
2018-05-13,527.8851829175375,1.0
2018-05-14,530.9621163768529,1.0
2018-05-15,531.9704455887352,1.0
2018-05-16,531.0144931637931,1.0
2018-05-17,527.6029537420112,1.0
2018-05-18,523.4452726505834,1.0
2018-05-19,518.5226454233677,1.0
2018-05-20,512.3670173600219,1.0
2018-05-21,504.6163384417938,1.0
2018-05-22,495.3244780374836,1.0
2018-05-23,484.77383002091375,1.0
2018-05-24,472.638612843773,1.0
2018-05-25,460.7774675739822,1.0
2018-05-26,449.3010476954244,1.0
2018-05-27,437.8480620991363,1.0
2018-05-28,426.1380970120968,1.0
2018-05-29,414.279678162622,1.0
2018-05-30,402.5816457507588,1.0
2018-05-31,390.715872842223,1.0
2018-06-01,380.5099398881037,1.0
2018-06-02,372.0154523971022,1.0
2018-06-03,364.7854403298787,1.0
2018-06-04,358.42912679743006,1.0
2018-06-05,352.922475084252,1.0
2018-06-06,348.4225217192964,1.0
2018-06-07,344.4334506623811,1.0
2018-06-08,342.6029371686049,1.0
2018-06-09,342.7943579440632,1.0
2018-06-10,344.3682119155367,1.0
2018-06-11,346.7409436183658,1.0
2018-06-12,349.699483804072,1.0
2018-06-13,353.2194241417109,1.0
2018-06-14,356.6346960673308,1.0
2018-06-15,361.43720522657605,1.0
2018-06-16,367.35195070350926,1.0
2018-06-17,373.6209171327555,1.0
2018-06-18,379.5638878240534,1.0
2018-06-19,384.8944627689716,1.0
2018-06-20,389.53918122402246,1.0
2018-06-21,392.80761532736574,1.0
2018-06-22,396.1918958292303,1.0
2018-06-23,399.4412212940838,1.0
2018-06-24,401.8446725326006,1.0
2018-06-25,402.7905242279822,1.0
2018-06-26,402.0803900687666,1.0
2018-06-27,399.746160372133,1.0
2018-06-28,395.21766289659706,1.0
2018-06-29,390.1195751457715,1.0
2018-06-30,384.3432077349681,1.0
2018-07-01,377.3265478404553,1.0
2018-07-02,368.7561712912027,1.0
2018-07-03,358.44265895810804,1.0
2018-07-04,346.5710517207923,1.0
2018-07-05,332.72080022416014,1.0
2018-07-06,318.6605369735392,1.0
2018-07-07,304.41796794860574,1.0
2018-07-08,289.5582932516587,1.0
2018-07-09,273.73942441897384,1.0
2018-07-10,257.02239683153346,1.0
2018-07-11,239.68498383546665,1.0
2018-07-12,221.3864759455685,1.0
2018-07-13,203.9621712022212,1.0
2018-07-14,187.4931996407728,1.0
2018-07-15,171.58506088015085,1.0
2018-07-16,155.92310922652592,1.0
2018-07-17,140.5833502535037,1.0
2018-07-18,125.84652122022688,1.0
2018-07-19,111.36338608137758,1.0
2018-07-20,98.94976146306354,1.0
2018-07-21,88.65687092598576,1.0
2018-07-22,80.05038588928721,1.0
2018-07-23,72.7663726964923,1.0
2018-07-24,66.82250106131436,1.0
2018-07-25,62.432483928274834,1.0
2018-07-26,59.17168351090544,1.0
2018-07-27,58.772409898799424,1.0
2018-07-28,61.1945250072756,1.0
2018-07-29,65.90473031871208,1.0
2018-07-30,72.43278159472555,1.0
2018-07-31,80.68301194464868,1.0
